Postcode,Latitude,Longitude
DA5 2HN,51.429390000000005,0.166989
CT102ST,51.363566,1.425098
CT170FD,51.129339,1.3038100000000001
DA1 5FX,51.457555,0.23644
TN146PY,51.236829,0.18584900000000001
ME173PP,51.227708,0.6306689999999999
CT130QD,51.262368,1.3063360000000002
CT140EY,51.224665,1.3713899999999999
DA9 9AA,51.448679,0.277068
TN254DA,51.2154,0.876842
CT3 3DJ,51.223616,1.1943030000000001
CT1 1HU,51.285393,1.092662
CT3 1QA,51.251048,1.263584
ME168PX,51.272095,0.514789
BR8 7SH,51.41483,0.191669
BR8 7HJ,51.403415,0.161303
CT5 1DG,51.355446,1.024405
TN120NT,51.154428,0.551429
CT170HJ,51.130117,1.288354
CT1 3AQ,51.274657,1.091181
TN150HH,51.281033,0.205384
DA2 6JF,51.437032,0.247294
DA1 2RZ,51.436038,0.21399400000000002
DA117NL,51.417149,0.36291999999999996
TN131XH,51.274941999999996,0.186352
TN147SJ,51.333289,0.180097
CT146UW,51.233374,1.398061
TN255DL,51.173893,0.946842
DA119DH,51.446684000000005,0.32783
CT149SS,51.224596000000005,1.397715
DA1 1TJ,51.444324,0.225287
DA2 6LE,51.434976,0.249912
TN262EB,51.075691,0.8459469999999999
CT5 2AY,51.363862,1.051857
TN1 2UY,51.133275,0.267776
DA2 8DS,51.414126,0.273912
DA130RW,51.33463,0.363611
CT147NP,51.203425,1.392304
DA1 2QY,51.435579,0.20540999999999998
CT194PZ,51.088891,1.1476549999999999
TN4 8HS,51.117951,0.244434
DA9 9XW,51.444475,0.280514
CT146AF,51.228895,1.402072
DA1 5WH,51.447776,0.22204400000000002
TN8 6LG,51.209902,0.053882000000000006
DA2 6FD,51.446608000000005,0.245533
CT140LZ,51.233843,1.348463
TN249DU,51.163829,0.8902530000000001
ME160UA,51.289947999999995,0.5030399999999999
CT3 3HX,51.228514000000004,1.201819
CT149PG,51.218361,1.372276
DA122AB,51.442465000000006,0.373221
DA9 9DY,51.441265,0.260525
DA130DT,51.347443,0.356171
CT154HQ,51.226147,1.239774
CT155FG,51.145497,1.321782
CT147JN,51.210352,1.400633
CT6 6DU,51.367676,1.136788
CT149LA,51.205717,1.379642
CT148BN,51.195792,1.402695
CT139EG,51.274266,1.341537
CT140ND,51.235768,1.3462530000000001
CT155BL,51.195065,1.310833
CT8 8BW,51.378153000000005,1.334543
TN290BN,51.012561,0.856195
CT6 8TW,51.369762,1.118767
DA130HD,51.380482,0.35988000000000003
TN262HR,51.064996,0.857025
CT103AE,51.367059000000005,1.430202
CT163FW,51.159275,1.3053649999999999
CT1 9AN,51.284437,1.0944479999999999
ME9 0HF,51.298281,0.806917
TN306SA,51.07314,0.695257
TN307NB,51.047668,0.697616
DA110JJ,51.436899,0.356629
CT130ED,51.249377,1.304142
CT154JA,51.218718,1.223011
TN4 8JP,51.120467,0.245471
DA1 1FS,51.4447,0.20961999999999997
CT102SU,51.363911,1.425282
TN288EQ,50.985331,0.9328549999999999
TN231AW,51.148046,0.8726370000000001
CT161RW,51.1277,1.314671
CT170JP,51.136294,1.2951270000000001
TN129GB,51.171094000000004,0.49677
CT155BW,51.197687,1.314171
TN2 5BA,51.124544,0.27925300000000003
DA110DR,51.445297,0.36342199999999997
ME173NS,51.230395,0.610294
CT117HS,51.342240999999994,1.411744
DA123HS,51.432026,0.43487600000000004
DA1 1DB,51.443821,0.21809699999999999
CT161RR,51.127162,1.3162049999999998
DA9 9SN,51.439532,0.270152
DA1 2LL,51.443556,0.21353699999999998
ME160UE,51.27754,0.513794
CT139BN,51.274065,1.341379
CT147QD,51.201103,1.390816
ME150PS,51.248121999999995,0.49651300000000004
TN133NZ,51.286446000000005,0.195375
TN147SB,51.333067,0.183331
DA3 7AB,51.394414000000005,0.31287
TN290BU,51.014101000000004,0.9452
TN279SW,51.166712,0.62864
DA122RF,51.441449,0.374535
ME137AH,51.315447999999996,0.891639
TN1 1SW,51.128493,0.26577
TN120BP,51.16398,0.553473
DA125QA,51.42621,0.376895
DA1 5TY,51.451073,0.222694
CT3 1TT,51.27935,1.163247
ME124NE,51.405607,0.904329
ME992AG,51.278325,0.5191
CT3 3JD,51.2526,1.212752
CT162SE,51.1423,1.300646
CT2 8NJ,51.282678999999995,1.056638
TN103JN,51.211753,0.27422199999999997
TN171DN,51.115142,0.468945
CT8 8EF,51.376365,1.336052
TN248BP,51.145785,0.8844770000000001
ME3 7PB,51.416306,0.47601000000000004
TN156BH,51.346909000000004,0.25211500000000003
TN4 0BH,51.154947,0.26463400000000004
TN278BQ,51.105889000000005,0.642845
CT187JL,51.100673,1.207244
ME138BE,51.313945000000004,0.89895
ME121XT,51.434348,0.765467
TN132QT,51.289903,0.165234
TN131AA,51.270282,0.191708
ME159QA,51.254556,0.5303260000000001
TN129RH,51.194986,0.460945
