date,DIS,FB,SBUX,WMT,WST
2014-08-08,80.9064,73.06,36.0744,66.4994,38.8547
2014-08-11,81.5119,73.44,36.1906,66.2233,38.6707
2014-08-12,81.2418,72.83,36.1674,66.0986,38.0123
2014-08-13,81.6051,73.77,35.8978,65.9294,39.2129
2014-08-14,82.546,74.296,35.6096,66.25,40.1811
2014-08-15,83.1701,73.63,35.7444,65.8137,40.6846
2014-08-18,83.8129,74.59,36.0605,66.3391,41.3817
2014-08-19,83.9247,75.29,36.3068,66.6864,42.0691
2014-08-20,83.6918,74.81,36.265,66.7577,42.5436
2014-08-21,84.1949,74.57,36.0047,67.2831,42.6501
2014-08-22,84.2973,74.57,35.9164,67.4434,42.2821
2014-08-25,84.1949,75.02,36.2371,67.4078,42.7566
2014-08-26,83.8595,75.9601,36.1534,67.2564,43.26
2014-08-27,84.1855,74.63,36.2138,67.5503,42.4467
2014-08-28,84.7165,73.855,36.1627,67.5948,42.0691
2014-08-29,83.7291,74.82,36.1627,67.2386,42.0498
2014-09-02,84.5861,76.68,36.0093,67.4612,42.5726
2014-09-03,84.7165,75.83,35.6887,67.6928,42.7082
2014-09-04,83.9713,75.95,35.8606,68.1826,42.4564
2014-09-05,84.7165,77.26,36.2278,69.0286,42.5823
2014-09-08,84.3625,77.89,36.0976,68.1559,42.7566
2014-09-09,83.4682,76.67,35.842,68.3429,42.1756
2014-09-10,83.3937,77.43,35.8839,68.1381,42.2918
2014-09-11,83.8129,77.92,35.3773,67.7729,42.5048
2014-09-12,83.5334,77.48,35.0752,67.479,42.2337
2014-09-15,83.9154,74.58,34.8196,67.5147,41.9917
2014-09-16,84.0924,76.08,34.8986,67.9689,42.195
2014-09-17,84.1483,76.43,35.0148,67.8976,42.6113
2014-09-18,84.1576,77.0,35.196,67.8798,43.4634
2014-09-19,84.2973,77.91,35.354,68.432,43.3666
2014-09-22,83.1794,76.8,34.6708,67.96,43.0858
2014-09-23,82.2665,78.29,34.3711,67.3276,42.9115
2014-09-24,83.3285,78.535,35.0055,68.6457,42.9793
2014-09-25,82.0429,77.22,34.4478,67.7907,42.7663
2014-09-26,82.6671,78.79,34.9357,68.1203,43.0858
2014-09-29,82.7509,79.0,34.9822,67.7551,43.5215
2014-09-30,82.9372,79.04,35.0705,68.1024,43.3375
2014-10-01,81.5026,76.55,34.6755,67.7907,42.6501
2014-10-02,80.8505,77.08,34.6011,67.8887,42.9889
2014-10-03,82.3969,77.44,35.2704,68.8594,43.4731
2014-10-06,82.4994,77.555,34.9241,68.8861,43.3278
2014-10-07,81.1486,76.29,34.4152,68.8416,42.379
2014-10-08,82.0802,77.52,34.9776,69.6788,43.3472
2014-10-09,79.8444,75.91,34.6151,69.3403,43.1923
2014-10-10,80.3661,72.91,34.6058,69.7233,42.8824
2014-10-13,78.1676,72.99,33.5508,69.0732,43.1439
2014-10-14,78.3819,73.59,33.8064,69.4472,43.9281
2014-10-15,76.4629,73.21,33.6391,66.9714,43.3278
2014-10-16,76.1461,72.63,33.7599,65.7424,42.8722
2014-10-17,78.0931,75.95,34.1782,65.9918,43.018
2014-10-20,79.6674,76.95,34.7173,66.918,43.6484
2014-10-21,81.5492,78.69,34.5593,67.7017,43.8231
2014-10-22,81.1393,78.37,34.6708,67.7106,43.4154
2014-10-23,81.9684,80.04,34.7824,67.9065,43.7746
2014-10-24,82.546,80.67,35.2332,68.0223,44.1434
2014-10-27,82.3969,80.28,35.3076,68.2093,44.5316
2014-10-28,83.7756,80.77,35.8095,67.9956,46.269
2014-10-29,83.403,75.86,35.5725,68.0312,45.9196
2014-10-30,84.0458,74.11,35.935,68.0846,50.6077
2014-10-31,85.1264,74.99,35.117,67.9243,49.7438
2014-11-03,85.4338,73.88,35.368,67.9332,49.0159
2014-11-04,84.1669,75.76,35.6515,68.806,49.2779
2014-11-05,84.7724,74.83,35.6282,69.1979,49.307
2014-11-06,85.704,75.26,35.9954,69.2958,49.3556
2014-11-07,83.8409,75.6,36.1534,70.1508,48.5209
2014-11-10,83.6359,75.0,36.2374,70.7475,48.8606
2014-11-11,83.8222,74.61,36.2748,70.3645,49.9477
2014-11-12,83.7477,74.72,36.3308,70.5337,50.9183
2014-11-13,84.2973,74.25,36.3494,73.8645,50.6077
2014-11-14,84.5861,74.88,36.4568,73.8823,49.8409
2014-11-17,84.2228,74.24,36.3214,74.4255,50.1709
2014-11-18,84.1017,74.34,36.2001,74.6215,50.2291
2014-11-19,83.6732,73.33,36.3168,75.6902,49.21
2014-11-20,82.8161,73.6,36.4941,75.325,49.4818
2014-11-21,82.872,73.75,37.2221,75.3874,49.3944
2014-11-24,84.3812,74.01,37.5768,76.0553,50.7241
2014-11-25,85.3779,75.63,37.4321,75.6545,50.4135
2014-11-26,85.6295,77.62,37.1941,75.6813,50.5785
2014-11-28,86.1791,77.7,37.8988,77.9611,50.4815
2014-12-01,86.3561,75.1,37.7308,76.7856,50.2388
2014-12-02,87.0734,75.46,37.5068,76.9459,51.4715
2014-12-03,86.738,74.88,37.5535,76.0683,52.083
2014-12-04,86.8498,75.24,37.9455,75.9071,51.8015
2014-12-05,87.3435,76.36,39.0002,75.3339,52.3548
2014-12-08,87.3808,76.52,39.1075,75.4324,52.0053
2014-12-09,86.5797,76.84,38.7481,74.8324,53.2477
2014-12-10,85.3593,76.18,38.5755,74.313,51.6947
2014-12-11,86.5574,77.73,38.7901,75.0742,52.2771
2014-12-12,86.3121,77.83,38.8508,75.0563,51.7821
2014-12-15,85.7555,76.99,37.7495,75.1727,50.7533
